"Folder","AbsDiff","Method"
"round1115_mag-a14-ev-m-bp-206848","0","thin-wall hollow cylinder (volume-equivalent, not geometric match)"
"round1114_mag-a14-ev-m-bp-0001-205824","0","thin-wall hollow cylinder (volume-equivalent, not geometric match)"
"round28_clamp_ring","10","back-calc"
"round29_M2x5_spring_pin","10","back-calc"
"round26_N52_44.4_magnet","10","simple"
"round27_KE-BH-007_ESR80","10","back-calc"
"round31_KMB602PT_oil_seal_62.1","10","back-calc"
"round32_SD120H_spacer","10","back-calc"
"round2_EV-L200-MP_M-Right","10","back-calc"
"round30_KMB601_oil_seal_gasket","10","back-calc"
"round25_ring_magnet_40.8","10","simple"
"round222_EV-X200N-MP-M-v2026","10","back-calc"
"round226_EV-A10-3-M","10","back-calc"
"round20_SDE300_baffle","10","back-calc"
"round21_motor_copper_gasket","10","back-calc"
"round246_KE-SL-052-HC60-motor-sleeve","10","back-calc"
"round24_SDE300_shaft_gasket","10","simple"
"round22_IGX_spacer","10","back-calc"
"round23_KE-BH-026_AA_BP-M","10","back-calc"
"round33_gear","10","back-calc"
"round44_KE-SP-012_36x30x3.7","10","simple"
"round45_KE-SP-013_37x25x7","10","simple"
"round42_KE-SP-006-P2","10","back-calc"
"round43_KE-SP-011_31x25x3","10","simple"
"round46_KE-SP-014_35x30x3","10","simple"
"round49_KE-SP-002-P1","10","back-calc"
"round4_BP_Flinger","10","back-calc"
"round47_KE-SP-015_42x30x3","10","simple"
"round48_KE-SP-001","10","simple"
"round36_KE-SP-016_ESR200_big","10","back-calc"
"round37_KE-SP-017_ESR200_small","10","simple"
"round34_O-ring_3mm_3100","10","back-calc"
"round35_KMB1201T_oil_seal","10","back-calc"
"round38_KE-SP-004-P1_ESR100","10","back-calc"
"round40_KE-SP-005_ESR100_BP_small","10","simple"
"round41_KE-SP-006-P1","10","simple"
"round39_KE-SP-008-P1_ESR_MP_big","10","back-calc"
"round3_magnet","10","back-calc"
"round1_EV-L200-MP_Flinger","10","direct"
"round165_KE-SL-049-HC60C","10","back-calc"
"round166_KE-SL-051-HC60E","10","back-calc"
"round163_KE-SL-003-ESA300M","10","back-calc"
"round164_KE-SL-050-HC60D","10","back-calc"
"round167_KE-SL-002-ESA300G","10","back-calc"
"round171_KMB1203E","10","back-calc"
"round172_KE-SL-017-SD90","10","back-calc"
"round169_EV-X200N-MP-M","10","back-calc"
"round16_S200P_G_gasket","10","simple"
"round154_KE-SL-013","10","back-calc"
"round156_KE-SL-011","10","back-calc"
"round14_KE-SP-004_ESR100_big","10","back-calc"
"round152_EV-S200P-BP-v3","10","back-calc"
"round157_KE-SL-004","10","back-calc"
"round15_KE-SP-007_ESR100_MP","10","simple"
"round160_KMB1203","10","back-calc"
"round158_KE-SL-052","10","back-calc"
"round159_KE-SL-001-ESA200","10","back-calc"
"round186_KE-SL-033-ESA200-MPM","10","back-calc"
"round187_KE-SL-031-QDP","10","back-calc"
"round184_KE-SL-012-SDE300C","10","back-calc"
"round185_KE-SL-035-A150-MPG","10","back-calc"
"round188_KE-SL-034-ESA200-BPM","10","back-calc"
"round19_SDE300_arc_magnet","10","back-calc"
"round149_KE-SP-004-P2","10","back-calc"
"round18_AlNiCo_magnet","10","simple"
"round190_KE-SL-024-old","10","back-calc"
"round178_KE-SL-020-KMB2003","10","back-calc"
"round179_KE-SL-037-A150-BPG","10","back-calc"
"round174_KE-SL-005-AA-MPG","10","back-calc"
"round177_KE-SL-007-AA-MPM","10","back-calc"
"round17_KE-SP-008_ESR_MP_big","10","back-calc"
"round182_KE-SL-034-A150-MPM","10","back-calc"
"round183_KE-SL-024-ESA200-MPG","10","back-calc"
"round180_KE-SL-036-A150-BPM","10","back-calc"
"round181_KE-SL-032-ESA200-BPG","10","back-calc"
"round978_belt-guide-clip-113152","10","back-calc"
"round979_side-plate-174592","10","back-calc"
"round976_hole-ring-29x25-150016","10","back-calc"
"round977_bearing-sleeve-154112","10","back-calc"
"round97_KE-SL-001_ESA200-G","10","back-calc"
"round982_m3x8-194560","10","back-calc"
"round983_coupling-box-274432","10","back-calc"
"round980_m5x20-190976","10","back-calc"
"round981_m3x6-193024","10","back-calc"
"round90_KE-SL-022_A200","10","back-calc"
"round91_KE-SL-024_ESA200","10","back-calc"
"round88_KE-SL-019","10","direct"
"round8_KE-BH-071_X200N","10","back-calc"
"round92_KE-SL-031_QDP","10","back-calc"
"round95_KE-BC-003_ESA300MP-G","10","back-calc"
"round96_KE-BC-004_ESA300MP-M","10","back-calc"
"round93_KE-SL-032_ESA200_BP","10","back-calc"
"round94_KE-SL-033_ESA200_M","10","back-calc"
"round984_coupling-box-0002-289792","10","back-calc"
"round995_base-right-v2-260096","10","back-calc"
"round996_rotor-punch-118784","10","back-calc"
"round993_base-right-286720","10","back-calc"
"round994_base-left-v2-265728","10","back-calc"
"round997_ev-x200n-mp-m-254464","10","back-calc"
"round99_KE-SL-027_KY","10","back-calc"
"round9_KE-SP-018_big_spacer","10","back-calc"
"round998_clean-disc-1mm-6637056","10","back-calc"
"round999_igx-oil-disc-96256","10","simple"
"round987_al-screw-0002-146944","10","back-calc"
"round988_esr200-flinger-semi-116736","10","simple"
"round985_pulley-288256","10","back-calc"
"round986_gearbox-439296","10","back-calc"
"round989_esr200-flinger-275968","10","back-calc"
