"Folder","Result","OD_mm","ID_R_mm","Thick_mm","Vol_mm3"
"round1_EV-L200-MP_Flinger","PASS","49","21.5","15.5","6548.815"
"round10_KE-SP-019_EVM","PASS","","27.5551","","3378.482"
"round100_KE-SL-028_KMB603","PASS","64","28.9067","30.3","17933.962"
"round1000_clean-disc-6mm-1007616","PASS","","75.6433","","500934.651"
"round1001_6mm-screen-v2-1000448","PASS","","120.3765","","378483.107"
"round1002_press-strip-128512","PASS","","420.2265","","12675.291"
"round1003_m5x20-v2-278016","PASS","","10.9906","","573.463"
"round1004_m5x20-setscrew-162304","PASS","","8.7479","","368.726"
"round1005_agv-gate-139264","PASS","","345.6751","","2086237.446"
"round1006_agv-gate-0001-122880","PASS","","293.6065","","1854676.742"
"round1007_agv-gate-v2-122368","PASS","","345.6527","","2086626.742"
"round1008_spacer-102912","PASS","","2.7645","","23212.05"
"round1009_stator-single-normal-386048","PASS","","32.0112","","1500.95"
"round101_spacer_2025_11","PASS","20","","80",""
"round1010_rotor-single-276480","PASS","","14.6836","","566.102"
"round1011_threaded-rod-100352","PASS","","87.9786","","9041.765"
"round1012_gearbox-0010-443904","PASS","","76.4679","","524098.827"
"round1013_gearbox-0009-442880","PASS","","76.3589","","524035.996"
"round1014_1mm-screen-v2-2102784","PASS","","89.916","","300824.04"
"round1015_bearing-6902lu-0002-287232","PASS","","13.1525","","2024.242"
"round1016_pulley-0004-233472","PASS","","29.9002","","33571.96"
"round1017_bearing-6902lu-286208","PASS","","13.1166","","2107.18"
"round1018_bearing-6001zz-272384","PASS","","12.8199","","2784.003"
"round1019_6mm-screen-horn-1147904","PASS","","89.3901","","315638.75"
"round102_RING","PASS","457.71","228.6596","457.71","127881.151"
"round1020_6mm-screen-halfhorn-v2-987136","PASS","","89.6536","","308227.626"
"round1021_pulley-0003-168448","PASS","","29.4501","","34498.041"
"round1022_belt-guide-165888","PASS","","30.2233","","59489.827"
"round1023_bearing-6901lu-0002-155136","PASS","","12.3616","","3799.346"
"round1024_belt-guide-0001-168960","PASS","","30.2917","","58846.586"
"round1025_m4x12-0001-193536","PASS","","7.1465","","284.306"
"round1026_belt-guide-clip-0001-112640","PASS","","8.4619","","295.179"
"round1027_m5x20-0001-189952","PASS","","11.5154","","631.412"
"round1028_belt-guide-axle-111104","PASS","","53.4713","","12525.001"
"round1029_belt-guide-spacer-117248","PASS","","6.3792","","733.031"
"round103_BEARING_SPACER_RING","PASS","4.83","","0.33",""
"round1030_al-screw-151552","PASS","","5.3212","","318.076"
"round1031_end-plate-243712","PASS","","35.4232","","52421.043"
"round1032_coupling-protector-320512","PASS","","24.4694","","59622.73"
"round1033_coupling-182272","PASS","","16.3709","","22731.984"
"round1034_side-plate-0001-149504","PASS","","68.3357","","139009.559"
"round1035_screw-rod-0001-98304","PASS","","97.9808","","10047.075"
"round1036_main-unit-0002-210944","PASS","","67.7782","","12453107.942"
"round1037_screw-rod-98816","PASS","","102.9817","","10549.73"
"round1038_magnet-92672","PASS","","7.3","","30724.737"
"round1039_chassis-141312","PASS","","82.5451","","500504.461"
"round104_TUBE_SEAL_RING","PASS","330","164.5953","330","138298.602"
"round1040_6mm-sieve-disc-786432","PASS","","89.2837","","318623.263"
"round1041_1mm-sieve-halfhorn-0003-2357760","PASS","","89.8611","","302375.731"
"round1042_10hole-lower-mold-0001-103424","PASS","","6","","6223.384"
"round1043_10hole-lower-mold-103936","PASS","","6","","6231.83"
"round1044_56x35-10hole-punch-119296","PASS","","40.2138","","11534.809"
"round1045_al-disc-0002-196096","PASS","","12.7971","","11567.536"
"round1046_pps-base-243200","PASS","","24.16","","29447.258"
"round1047_gearbox-0002-275456","PASS","","75.5033","","519291.434"
"round1048_gearbox-280064","PASS","","75.5034","","519283.711"
"round1049_evm-flinger-342016","PASS","","41.737","","10399.604"
"round105_SPACER_2014","PASS","12.7","","11.3",""
"round1050_56x35-chamfer-jig-0002-164864","PASS","","63.3062","","158985.749"
"round1051_56x35-chamfer-jig-188416","PASS","","63.3194","","158730.527"
"round1052_4p0-pin-0001-102400","PASS","","21.4838","","561.651"
"round1053_evm-flinger-semi-115200","PASS","","15","","10384.936"
"round1054_70pr47000a-0004-578048","PASS","","9.2993","","3729.491"
"round1055_70pr47000a-651264","PASS","","9.3012","","3728.973"
"round1056_50nr7008-268800","PASS","","72.5722","","9941.276"
"round1057_50nr7008-0002-270336","PASS","","72.5722","","9941.277"
"round1058_50n733-136704","PASS","","0","","2241.253"
"round1059_shaft-0001-215040","PASS","","115.5616","","157446.623"
"round106_HgfZGGr_spacer","PASS","20","","80",""
"round1060_shaft-221184","PASS","","115.5617","","157442.681"
"round1061_anti-vib-foot-upper-226816","PASS","","75.4504","","68877.483"
"round1062_anti-vib-foot-upper-0003-232448","PASS","","74.7145","","82208.608"
"round1063_anti-vib-foot-lower-190464","PASS","","75.6938","","65294.983"
"round1064_ke-sp-019-161792","PASS","","27.5551","","3378.482"
"round1065_ke-sp-018-158208","PASS","","27.5348","","2432.317"
"round1066_main-unit-0004-148480","PASS","","39.9954","","5278109.215"
"round1067_face-0001-93184","PASS","","0","","147203.251"
"round1068_main-unit-146432","PASS","","39.9954","","5278109.215"
"round1069_fixed-post-116224","PASS","","107.8297","","11957.949"
"round107_GB_Washer_10","PASS","11.14","5.4795","11.14","35.994"
"round1070_sde300-stainless-sleeve-94720","PASS","","55","","25212.224"
"round1071_sieve-105472","PASS","","137.5591","","561952.386"
"round1072_base-114176","PASS","500","","220","50056548.7"
"round1073_spring-478720","PASS","","17.3531","","11165.862"
"round1074_grinder-hinge-4-0001-175104","PASS","","42.9574","","78153.498"
"round1075_grinder-hinge-3-265216","PASS","","22.3107","","83514.001"
"round1076_grinder-hinge-1-220160","PASS","","26.7983","","55268.546"
"round1077_vibration-motor-108544","PASS","","77.527","","1002688.179"
"round1078_rocking-disc-131072","PASS","","247.7036","","1728480"
"round1079_sde300-body-228864","PASS","","33.7646","","608922.078"
"round108_position_WASHER_1","PASS","28.5","","1",""
"round1080_bh068-kmb301-217088","PASS","","28","","44731.631"
"round1081_sde300-magnet-shield-92160","PASS","","3.5173","","469.7"
"round1082_sde300-arc-magnet-2-0001-96768","PASS","","18.9696","","17601.09"
"round1083_scmarf-al07-v2-165376","PASS","","47.4878","","36930.759"
"round1084_ev-m502-mp-finger-209408","PASS","","36.9659","","17631.791"
"round1085_stainless-angle-130560","PASS","","199.2516","","9387.628"
"round1086_m6x20-192000","PASS","","11.777","","952.002"
"round1087_fixed-plate-111616","PASS","","29.5599","","13688.814"
"round1088_base-camera-252416","PASS","","75.5992","","86049.7"
"round1089_anti-vib-stand-217600","PASS","","41.7241","","80327.682"
"round109_position_WASHER_2","PASS","28.5","","2",""
"round1090_silicon-steel-jig-0004-172544","PASS","","61.6629","","37181.04"
"round1091_shaft-sde-239104","PASS","","69.9511","","28183.381"
"round1092_part2-0001-109568","PASS","","5","","54140.604"
"round1093_part2-131584","PASS","","5","","53124.518"
"round1094_e500-arc-slit-626688","PASS","","12.4219","","44362.105"
"round1095_ev-x100-mp-g-427520","PASS","","35.3492","","63485.799"
"round1096_ev-x100-mp-g-0004-433664","PASS","","35.34","","63549.187"
"round1097_bh061-ev-s200bp-m-r-235520","PASS","","32.1733","","42610.691"
